# White River at Mt. Carmel, Indiana
# Threshold Exceedances (cfs), Threshold = 50,000 cfs
# Source: "Flood Frequency Analysis", A.R. Rao & K.H. Hamed, CRC Press, 2000, Table 8.3.1
PeakFlow
126000
148000
66000
156000
136000
122000
183000
162000
85200
56800
56600
138000
81000
51800
90700
139000
160000
118000
50600
137000
151000
172000
52600
248000
152000
64500
61500
143000
108000
53000
134000
115000
84100
105000
85400
76900
99100
73700
122000
62500
54300
58000
144000
55800
127000
55800
107000
56400
128000
106000
110000
232000
60400
60400
50800
100000
55900
167000
53700
56700
126000
100000
59500
164000
81800
56400
124000
64600
77300
65900
72500
65100
80800
69800
53000
195000
128000
114000
110000
149000
74100
75900
99300
168000
70800
104000
125000
77300
97300
140000
54900
66000
199000
99800
105000
93700
277000
85700
77300
122000
106000
93300
79000
130000
126000
57800
64700
162000
71900
63500
81500
51000
84400
108000
185000
55800
94600
82800
146000
66500
57700
78700
85100
129000
75700
104000
139000
50600
53500
178000
110000
50800
76000
130000
67300
149000
78400
96600
83300
68400
84300
56400
112000
76400
116000
51400
59800
63900
81900
88200
62300
162000
67200
85500
51000
286000
73800
61300
60800
91300
134000
106000
70800
106000
122000
149000
53700
85300
144000
54800
116000
67500
56500
86700
91500
105000
134000
97300
84000
141000
52600
124000
196000
84200
54500
74500
104000
57200
61000
155000
96500
89100
77900
70500
73400
180000
83700
302000
133000
92100
105000
235000
213000
96100
77100
73900
55400
55200
87800
52600
106000
93000
147000
61800
101000
154000
52000
121000
86700
57300
97500
112000
88500
76200
140000
87400
154000
95100
131000
131000
54900
78800
101000
224000
54800
50900
63500
63500
152000
51000
285000
114000
197000
106000
132000
83700
67200
110000
202000
127000
90600
126000
73900
86500
181000
141000
79700
97800
57300
77200
133000
82900
55000
62000
51700
54500
51600
103000
134000
71700
57000
63900
60700
81900
171000
111000
50400
50500
69700
88900
76600
