# USGS 01562000 - Bulletin 17C Test Site
# Annual Peak Streamflow with Empirical Probabilities
# Source: USGS Bulletin 17C test sites, validated against Palisade @Risk
Flow,Probability
3180,0.010036801605888
4340,0.020073603211777
4670,0.030110404817665
4720,0.040147206423553
5020,0.050184008029441
6180,0.060220809635329
6270,0.070257611241218
7410,0.080294412847106
7800,0.090331214452994
8130,0.100368016058882
8320,0.110404817664771
8400,0.120441619270659
8450,0.130478420876547
8640,0.140515222482436
8690,0.150552024088324
8900,0.160588825694212
8990,0.170625627300100
9040,0.180662428905989
9220,0.190699230511877
9640,0.200736032117765
9830,0.210772833723653
10200,0.220809635329542
10300,0.230846436935430
10600,0.240883238541318
10800,0.250920040147206
10800,0.260956841753095
11100,0.270993643358983
11100,0.281030444964871
11300,0.291067246570759
11600,0.301104048176648
11700,0.311140849782536
11700,0.321177651388424
11800,0.331214452994312
11800,0.341251254600201
12000,0.351288056206089
12200,0.361324857811977
12200,0.371361659417865
12300,0.381398461023754
12500,0.391435262629642
12600,0.401472064235530
12700,0.411508865841419
12700,0.421545667447307
12900,0.431582469053195
13200,0.441619270659083
13200,0.451656072264972
13400,0.461692874870860
13400,0.471729675476748
13600,0.481766477082636
13800,0.491803278688525
14000,0.501840080294413
14100,0.511876881900301
14500,0.521913683506189
14500,0.531950485112078
14600,0.541987286717966
15100,0.552024088323854
15100,0.562060889929742
15200,0.572097691535631
15600,0.582134493141519
16200,0.592171294747407
17200,0.602208096353295
17400,0.612244897959184
17700,0.622281699565072
17700,0.632318501170960
17800,0.642355302776848
18000,0.652392104382737
18300,0.662428905988625
18400,0.672465707594513
18400,0.682502509200401
18400,0.692539310806290
18500,0.702576112412178
18500,0.712612914018066
18600,0.722649715623955
18900,0.732686517229843
19100,0.742723318835731
19200,0.752760120441619
19400,0.762796922047508
19900,0.772833723653396
20400,0.782870525259284
20900,0.792907326865172
21000,0.802944128471061
21200,0.812980930076949
21500,0.823017731682837
21800,0.833054533288725
22100,0.843091334894614
22300,0.853128136500502
22400,0.863164937106390
22500,0.873201739712278
22700,0.883238541318167
22800,0.893275342924055
23600,0.903312144529943
26800,0.913348946135831
29000,0.923385747741720
31300,0.933422549347608
39200,0.943459350953496
40200,0.953496152559384
42900,0.963532954165273
45800,0.973569755771161
71300,0.989071038251366
80500,0.994535519125683
