# White River near Nora, Indiana
# Annual Peak Streamflow (cfs)
# Source: "Flood Frequency Analysis", A.R. Rao & K.H. Hamed, CRC Press, 2000, Table 7.1.2
AnnualPeakFlow
23200
2950
10300
23200
4540
9960
10800
26900
23300
20400
8480
3150
9380
32400
20800
11100
7270
9600
14600
14300
22500
14700
12700
9740
3050
8830
12000
30400
27000
15200
8040
11700
20300
22700
30400
9180
4870
14700
12800
13700
7960
9830
12500
10700
13200
14700
14300
4050
14600
14400
19200
7160
12100
8650
10600
24500
14400
6300
9560
15800
14300
28700
