# Tippecanoe River Near Delphi, Indiana (Station 43)
# Annual Peak Streamflow (cfs)
# Source: "Flood Frequency Analysis", A.R. Rao & K.H. Hamed, CRC Press, 2000, Table 5.1.1
AnnualPeakFlow
6290
2700
13100
16900
14600
9600
7740
8490
8130
12000
17200
15000
12400
6960
6500
5840
10400
18800
21400
22600
14200
11000
12800
15700
4740
6950
11800
12100
20600
14600
14600
8900
10600
14200
14100
14100
12500
7530
13400
17600
13400
19200
16900
15500
14500
21900
10400
7460
